平房	 黑龙江省哈尔滨市平房区联盟大街49号	 √	 　	 　	 哈尔滨铁路局	车站
平山	 黑龙江省哈尔滨市阿城区平山镇	 √	 　	 　	 哈尔滨铁路局	车站
平洋	 黑龙江省泰来县平洋镇平洋车站	 √	 　	 　	 哈尔滨铁路局	车站
七台河	 黑龙江省七台河市新兴区兴华街４９号	 √	 √	 √	 哈尔滨铁路局	车站
齐齐哈尔	 黑龙江省齐齐哈尔市站前大街130号	 √	 √	 √	 哈尔滨铁路局	车站
前锋	 黑龙江省抚远市	 √	 　	 　	 哈尔滨铁路局	车站
前进镇	 黑龙江省同江市前进农场	 √	 　	 　	 哈尔滨铁路局	车站
秦家	 黑龙江省绥化市北林区秦家镇	 √	 　	 　	 哈尔滨铁路局	车站
青山	 黑龙江省林口县青山乡青山村	 √	 　	 　	 哈尔滨铁路局	车站
庆安	 黑龙江省绥化市庆安县庆安镇	 √	 √	 √	 哈尔滨铁路局	车站
三间房	 黑龙江省齐齐哈尔市昂昂溪区榆树屯镇友谊社区三站街	 √	 　	 　	 哈尔滨铁路局	车站
山市	 黑龙江省海林市山市镇	 √	 　	 　	 哈尔滨铁路局	车站
尚家	 黑龙江省肇东市尚家镇	 √	 　	 　	 哈尔滨铁路局	车站
尚志	 黑龙江省尚志市站前路	 √	 √	 √	 哈尔滨铁路局	车站
神树	 黑龙江省伊春市铁力市桃山镇神树村	 √	 　	 　	 哈尔滨铁路局	车站
沈家	 黑龙江省哈尔滨市呼兰区沈家镇	 √	 　	 　	 哈尔滨铁路局	车站
石磷	 鸡西市梨树区石场村	 √	 　	 　	 哈尔滨铁路局	车站
石人城	 黑龙江省哈尔滨市呼兰区石人镇	 √	 　	 　	 哈尔滨铁路局	车站
石头	 黑龙江省宁安市石岩镇	 √	 　	 　	 哈尔滨铁路局	车站
双城堡	 黑龙江省双城市车站街	 √	 √	 √	 哈尔滨铁路局	车站
双城北站	 黑龙江省哈尔滨市双城区双城镇光明村温家屯双城北站	 √	 　	 　	 哈尔滨铁路局	车站
双丰	 黑龙江省伊春市铁力市双丰镇	 √	 ？	 ？	 哈尔滨铁路局	车站
双鸭山	 黑龙江省双鸭山市尖山区站前路	 √	 √	 √	 哈尔滨铁路局	车站
四方台	 黑龙江省绥化市北林区四方台镇	 √	 　	 　	 哈尔滨铁路局	车站
宋	 黑龙江省肇东市宋站镇	 √	 　	 　	 哈尔滨铁路局	车站
绥芬河	 黑龙江省绥芬河市站前路36号	 √	 √	 √	 哈尔滨铁路局	车站
绥化	 黑龙江省绥化市北林区	 √	 √	 √	 哈尔滨铁路局	车站
绥棱	 黑龙江省绥化市绥棱县绥棱镇	 √	 √	 √	 哈尔滨铁路局	车站
绥阳	 黑龙江省东宁县绥阳镇	 √	 √	 √	 哈尔滨铁路局	车站
孙家	 黑龙江省哈尔滨市通乡街65号	 √	 　	 　	 哈尔滨铁路局	车站
孙吴	 黑龙江省黑河市孙吴县孙吴镇	 √	 √	 √	 哈尔滨铁路局	车站
塔尔气	 内蒙古自治区牙克石市塔尔气镇	 √	 √	 √	 哈尔滨铁路局	车站
塔哈	 黑龙江省富裕县塔哈乡塔哈车站	 √	 　	 　	 哈尔滨铁路局	车站
塔河	 黑龙江省大兴安岭地区塔河县	 √	 √	 √	 哈尔滨铁路局	车站
苔青	 黑龙江省伊春市西林区苔青街道办事处铁西街	 √	 　	 　	 哈尔滨铁路局	车站
太平镇	 黑龙江省双鸭山市集贤县大平镇	 √	 　	 　	 哈尔滨铁路局	车站
泰康	 黑龙江省大庆市杜尔伯特蒙古族自治县向阳街	 √	 √	 √	 哈尔滨铁路局	车站
泰来	 黑龙江省泰来县铁东街泰来车站	 √	 √	 √	 哈尔滨铁路局	车站
汤池	 黑龙江省泰来县汤池镇汤池车站	 √	 　	 　	 哈尔滨铁路局	车站
汤旺河	 黑龙江省伊春市汤旺河区向阳街125号	 　	 　	 　	 哈尔滨铁路局	车站
汤原	 黑龙江省佳木斯市汤原县铁路街	 √	 √	 √	 哈尔滨铁路局	车站
桃山	 黑龙江省伊春市铁力市桃山镇	 √	 　	 　	 哈尔滨铁路局	车站
铁力	 黑龙江省伊春市铁力市铁力镇	 √	 √	 √	 哈尔滨铁路局	车站
通北	 黑龙江省黑河市、北安市通北镇	 √	 √	 √	 哈尔滨铁路局	车站
图里河	 内蒙古自治区呼伦贝尔牙克石市图里镇	 √	 √	 √	 哈尔滨铁路局	车站
图强	 黑龙江省大兴安岭地区漠河县图强镇	 √	 　	 　	 哈尔滨铁路局	车站
团结	 黑龙江省讷河市兴旺乡团结车站	 √	 　	 　	 哈尔滨铁路局	车站
完工	 陈巴尔虎旗呼和诺尔镇完工站	 √	 　	 　	 哈尔滨铁路局	车站
万发屯	 黑龙江省绥化市北林区万发镇	 √	 　	 　	 哈尔滨铁路局	车站
万乐	 黑龙江省哈尔滨市松北区乐业乡	 √	 　	 　	 哈尔滨铁路局	车站
王岗	 黑龙江省哈尔滨市王岗镇	 √	 　	 　	 哈尔滨铁路局	车站
王兆屯	 黑龙江省哈尔滨市香坊区文政街99号	 √	 　	 　	 哈尔滨铁路局	车站
苇河	 黑龙江省尚志市苇河镇	 √	 √	 √	 哈尔滨铁路局	车站
卫星	 黑龙江省虎林市虎林镇850农场	 √	 　	 　	 哈尔滨铁路局	车站
温春	 黑龙江省牡丹江市西安区温春镇	 √	 　	 　	 哈尔滨铁路局	车站
倭肯	 黑龙江省七台河市勃利县倭肯镇	 √	 　	 　	 哈尔滨铁路局	车站
卧里屯	 黑龙江省大庆市龙凤区卧里屯大街1号	 √	 √	 √	 哈尔滨铁路局	车站
乌尔旗汗	 内蒙古自治区呼伦贝尔牙克石市乌尔旗汗镇	 √	 √	 √	 哈尔滨铁路局	车站
乌奴耳	 内蒙古自治区牙克石市乌奴耳镇道北乌奴耳站	 √	 　	 　	 哈尔滨铁路局	车站
乌伊岭	 黑龙江省伊春市乌伊岭林业局林铁街	 √	  	  	 哈尔滨铁路局	车站
五常	 黑龙江省五常市通达大街101号	 √	 √	 √	 哈尔滨铁路局	车站
五大连池	 黑龙江省黑河市五大连池市	 √	 　	 　	 哈尔滨铁路局	车站
五家	 黑龙江省双城市五家镇	 √	 　	 　	 哈尔滨铁路局	车站
五营	 黑龙江省伊春市五营区壮林街	 √	 √	 √	 哈尔滨铁路局	车站
西岗子	 黑龙江省黑河市爱辉区西岗镇	 √	 　	 　	 哈尔滨铁路局	车站
西林	 黑龙江省伊春市西林区繁荣街	 √	 　	 　	 哈尔滨铁路局	车站
西麻山	 黑龙江省鸡西市麻山区车站委	 √	 　	 　	 哈尔滨铁路局	车站
下城子	 黑龙江省穆棱市下城子镇	 √	 　	 　	 哈尔滨铁路局	车站
香坊	 黑龙江省哈尔滨市香坊区通站街118号	 √	  	  	 哈尔滨铁路局	车站
香兰	 黑龙江省佳木斯市汤原县香兰镇	 √	 　	 　	 哈尔滨铁路局	车站
襄河	 黑龙江省黑河市襄河农场	 √	 　	 　	 哈尔滨铁路局	车站
向阳	 黑龙江省林口县龙爪乡向阳村	 √	 　	 　	 哈尔滨铁路局	车站
小岭	 黑龙江省哈尔滨市阿城区小岭镇小岭街	 √	 　	 　	 哈尔滨铁路局	车站
小扬气	 黑龙江省大兴安岭地区松岭区小扬气镇	 √	 　	 　	 哈尔滨铁路局	车站
新绰源	 内蒙古自治区牙克石市绰尔镇	 √	 √	 √	 哈尔滨铁路局	车站
新华	 黑龙江省鹤岗市兴安区新华镇	 √	 　	 　	 哈尔滨铁路局	车站
新华屯	 黑龙江省大庆市大同区双榆乡新华街	 √	 　	 　	 哈尔滨铁路局	车站
新林	 黑龙江省大兴安岭地区新林区新林镇	 √	 √	 √	 哈尔滨铁路局	车站
新青	 黑龙江省伊春市新青区新青大街	 √	 √	 √	 哈尔滨铁路局	车站
新松浦	 黑龙江省哈尔滨市松北区松浦镇	 √	 　	 　	 哈尔滨铁路局	车站
新友谊	 黑龙江省双鸭山市友谊县	 √	 　	 　	 哈尔滨铁路局	车站
兴凯	 黑龙江省密山市兴凯镇	 √	 　	 　	 哈尔滨铁路局	车站
兴隆镇	 黑龙江省绥化市巴彦县兴隆镇	 √	 √	 √	 哈尔滨铁路局	车站
杏树	 黑龙江省七台河市勃利县杏树乡	 √	 　	 　	 哈尔滨铁路局	车站
